Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
15/06/2023,9.1,8.975,9.1,8.95,"17,64M","1,39%"
14/06/2023,8.975,9.1,9.1,8.95,"45,72M","-1,64%"
13/06/2023,9.125,9.3,9.3,9.1,"20,10M","-1,88%"
12/6/2023,9.3,9.25,9.3,9.175,"17,17M","0,81%"
9/6/2023,9.225,9.2,9.225,9.15,"17,93M","0,27%"
8/6/2023,9.2,9.15,9.2,9.075,"17,16M","0,55%"
7/6/2023,9.15,9.225,9.25,9.075,"28,36M","-0,54%"
6/6/2023,9.2,9,9.25,8.925,"41,12M","2,22%"
5/6/2023,9,9.05,9.125,9,"26,58M","-0,55%"
31/05/2023,9.05,9.1,9.125,9.025,"81,76M","0,28%"
30/05/2023,9.025,9.025,9.1,8.975,"23,26M","-0,28%"
29/05/2023,9.05,9,9.05,8.95,"13,75M","1,12%"
26/05/2023,8.95,9,9.075,8.95,"21,77M","-0,56%"
25/05/2023,9,8.825,9.025,8.8,"35,32M","1,98%"
24/05/2023,8.825,8.9,8.95,8.8,"61,86M","-1,40%"
23/05/2023,8.95,8.825,9,8.825,"48,45M","1,13%"
22/05/2023,8.85,8.825,8.875,8.775,"44,24M","0,28%"
19/05/2023,8.825,8.8,8.9,8.75,"43,53M","0,86%"
17/05/2023,8.75,8.725,8.825,8.65,"51,08M","0,00%"
16/05/2023,8.75,8.95,8.975,8.7,"54,16M","-1,69%"
15/05/2023,8.9,9,9.025,8.85,"35,48M","-1,11%"
12/5/2023,9,9.125,9.15,8.975,"23,67M","-1,64%"
11/5/2023,9.15,9.15,9.15,9.05,"19,35M","-0,54%"
10/5/2023,9.2,9.225,9.275,9.175,"17,75M","0,82%"
9/5/2023,9.125,9.125,9.175,9.05,"18,37M","-0,27%"
8/5/2023,9.15,9.275,9.3,9.15,"16,80M","-1,08%"
5/5/2023,9.25,9.3,9.325,9.15,"24,62M","-0,54%"
4/5/2023,9.3,9.4,9.425,9.275,"20,05M","-1,85%"
3/5/2023,9.475,9.55,9.55,9.4,"11,94M","-0,79%"
2/5/2023,9.55,9.45,9.55,9.425,"19,48M","1,33%"
28/04/2023,9.425,9.575,9.575,9.425,"23,07M","-0,79%"
27/04/2023,9.5,9.55,9.6,9.475,"15,35M","-0,78%"
26/04/2023,9.575,9.55,9.575,9.425,"46,61M","1,06%"
18/04/2023,9.475,9.45,9.575,9.4,"29,21M","0,26%"
17/04/2023,9.45,9.425,9.45,9.375,"14,27M","0,53%"
14/04/2023,9.4,9.425,9.5,9.375,"29,32M","0,27%"
13/04/2023,9.375,9.45,9.45,9.35,"24,72M","0,27%"
12/4/2023,9.35,9.4,9.4,9.35,"21,30M","-0,27%"
11/4/2023,9.375,9.3,9.4,9.3,"15,80M","0,54%"
10/4/2023,9.325,9.35,9.375,9.25,"16,50M","-0,53%"
6/4/2023,9.375,9.325,9.375,9.325,"23,23M","0,54%"
5/4/2023,9.325,9.35,9.45,9.275,"25,46M","-0,27%"
4/4/2023,9.35,9.35,9.375,9.2,"17,90M","0,00%"
3/4/2023,9.35,9.35,9.4,9.275,"13,30M","0,00%"
31/03/2023,9.35,9.35,9.375,9.225,"27,03M","0,00%"
30/03/2023,9.35,9.3,9.4,9.25,"33,76M","1,63%"
29/03/2023,9.2,9.05,9.25,9.025,"28,91M","1,94%"
28/03/2023,9.025,9.2,9.2,9,"36,44M","-5,00%"
27/03/2023,9.5,9.675,9.75,9.5,"55,20M","-1,30%"
24/03/2023,9.625,9.275,9.725,9.25,"86,91M","4,34%"
21/03/2023,9.225,9.05,9.25,8.975,"22,47M","2,50%"
20/03/2023,9,9.025,9.125,8.975,"16,10M","-0,28%"
17/03/2023,9.025,9,9.15,8.975,"59,21M","0,84%"
16/03/2023,8.95,8.875,9.1,8.825,"52,12M","1,70%"
15/03/2023,8.8,8.9,8.925,8.775,"45,38M","0,28%"
14/03/2023,8.775,8.9,8.9,8.75,"63,41M","-2,50%"
13/03/2023,9,9.025,9.05,8.875,"43,69M","-0,28%"
10/3/2023,9.025,9.1,9.125,9,"36,34M","-1,37%"
9/3/2023,9.15,9,9.225,9,"56,09M","3,10%"
8/3/2023,8.875,8.85,8.875,8.8,"13,13M","-0,28%"
7/3/2023,8.9,8.8,8.925,8.8,"20,31M","1,14%"
6/3/2023,8.8,8.8,8.875,8.75,"21,24M","0,57%"
3/3/2023,8.75,8.875,8.9,8.75,"27,49M","-1,41%"
2/3/2023,8.875,8.95,8.95,8.875,"24,79M","-0,84%"
1/3/2023,8.95,8.775,8.975,8.775,"24,10M","1,99%"
28/02/2023,8.775,9,9,8.775,"54,16M","-1,96%"
27/02/2023,8.95,8.9,9,8.85,"21,50M","0,56%"
24/02/2023,8.9,9,9.125,8.9,"30,73M","-0,56%"
23/02/2023,8.95,8.85,9,8.8,"26,37M","1,13%"
22/02/2023,8.85,9,9.05,8.8,"51,84M","-2,21%"
21/02/2023,9.05,9.15,9.2,9.05,"36,29M","-1,09%"
20/02/2023,9.15,9.275,9.325,9.125,"33,03M","-1,35%"
17/02/2023,9.275,9.35,9.375,9.25,"11,54M","-0,80%"
16/02/2023,9.35,9.45,9.45,9.3,"19,19M","-0,80%"
15/02/2023,9.425,9.45,9.475,9.275,"22,13M","-0,26%"
14/02/2023,9.45,9.5,9.55,9.4,"18,72M","-0,53%"
13/02/2023,9.5,9.575,9.575,9.45,"13,13M","-0,26%"
10/2/2023,9.525,9.525,9.525,9.425,"12,49M","-0,26%"
9/2/2023,9.55,9.45,9.55,9.425,"23,82M","0,79%"
8/2/2023,9.475,9.375,9.5,9.375,"17,03M","1,07%"
7/2/2023,9.375,9.35,9.4,9.25,"19,44M","0,27%"
6/2/2023,9.35,9.3,9.35,9.15,"19,25M","0,54%"
3/2/2023,9.3,9.2,9.325,9.15,"21,39M","2,20%"
2/2/2023,9.1,9.175,9.2,9.05,"19,29M","-0,27%"
1/2/2023,9.125,9.2,9.25,9.075,"29,44M","-0,27%"
31/01/2023,9.15,9.2,9.3,9.075,"58,42M","-1,61%"
30/01/2023,9.3,9.55,9.55,9.25,"38,73M","-2,62%"
27/01/2023,9.55,9.6,9.6,9.475,"39,77M","0,79%"
26/01/2023,9.475,9.125,9.525,9.075,"38,65M","4,41%"
25/01/2023,9.075,9.2,9.25,9.05,"34,08M","0,28%"
24/01/2023,9.05,9.075,9.15,8.975,"12,91M","0,28%"
20/01/2023,9.025,9,9.1,8.9,"15,50M","0,84%"
19/01/2023,8.95,8.9,8.975,8.825,"14,22M","0,85%"
18/01/2023,8.875,8.95,9.025,8.8,"21,05M","-0,56%"
17/01/2023,8.925,8.775,8.975,8.75,"29,42M","1,71%"
16/01/2023,8.775,8.7,8.8,8.675,"12,46M","1,15%"
13/01/2023,8.675,8.675,8.675,8.575,"15,75M","0,87%"
12/1/2023,8.6,8.675,8.75,8.5,"35,71M","1,18%"
11/1/2023,8.5,8.725,8.725,8.425,"52,77M","-2,58%"
10/1/2023,8.725,9,9,8.65,"28,45M","-3,06%"
9/1/2023,9,8.95,9.05,8.875,"19,36M","1,12%"
6/1/2023,8.9,8.975,9.05,8.875,"23,54M","-1,11%"
5/1/2023,9,9.15,9.15,8.825,"45,57M","-1,91%"
4/1/2023,9.175,9.275,9.3,9.15,"24,21M","-1,08%"
3/1/2023,9.275,9.2,9.3,9.15,"13,23M","0,54%"
2/1/2023,9.225,9.225,9.225,9.1,"7,30M","0,00%"
